CONTAINER_NUMBER,TrailerID,IB_CARRIER,IB_CHASIS_NUM,IB_LICENSE_NUM,IB_RFID,OB_TRUCK_NUM,OB_LICENSE_NUM,OB_RFID,CONTAINER_LINE,CONTAINER_SIZE,PLANT,BOOKING_NUMBER_INITIAL,BOOKING_NUMBER_FINAL,HEADER_ID,LINE_ID,ORDER_NUMBER,Line_Number,BOL_NUM,STATUS_CODE,STATUS_DESCRIPTION,EIT_DATE,EOS_DATE,LOS_DATE,LIT_DATE,LAY_DATE,LAP_DATE,LOV_DATE,LDC_DATE,LSC_DATE,DEP_DATE,CLOSE_DATE,LND_DATE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,ORIGINATION_SITE,ORDER_NUMBER_INITIAL,HOLD_FLAG,DAMAGED_FLAG,COMMENTS,ScanTime,FacilityCode,
FANU3849451,FANU3849451, , ,,0.3812,,,,HLCU,40_DRY_9.5,Intransit, , ,,,,,,LOV,Loaded On Vessel,,2/23/2024 10:29:12 AM,,,,3/14/2024 1:00:00 PM,3/14/2024 1:05:00 PM,,,,,,,,,,Intransit,,,,,2/27/2024 2:19:00 PM,987,
HLBU2022997,HLBU2022997, , ,,0.3811,,,,HLCU,40_DRY_9.5,Intransit, , ,1769049,2479840,5097668,9.1, ,LOV,Loaded On Vessel,2/19/2024 4:30:00 PM,2/20/2024 5:23:45 AM,,,,3/14/2024 1:01:00 PM,3/14/2024 1:05:00 PM,,3/14/2024 11:18:00 AM,,,,,,,,Intransit,,,,,2/27/2024 3:44:17 AM,987,
GCXU5993696,GCXU5993696, , ,,0.3811,,,,HLCU,40_DRY_9.5,Intransit, , ,1765656,2475586,5097260,506.1, ,LOV,Loaded On Vessel,2/19/2024 11:30:00 AM,2/19/2024 11:18:40 AM,,,,3/14/2024 1:01:00 PM,3/14/2024 1:05:00 PM,,3/14/2024 11:16:00 AM,,,,,,,,Intransit,,,,,2/27/2024 2:18:00 PM,987,
CAIU8527324,CAIU8527324, , ,,0,,,,HLCU,40_DRY_9.5,Intransit, , ,,,,,,LOV,Loaded On Vessel,2/18/2024 6:30:01 AM,2/19/2024 11:15:14 AM,,,,3/14/2024 1:02:00 PM,3/14/2024 1:06:00 PM,,,,,,,,,,Intransit,,,,,2/29/2024 10:40:00 AM,987,
LDIT223400,LDIT223400,,,,,,,,,,Intransit,,,,,,,,1,Empty,,2/12/2024 10:58:15 AM,,,,,,,,,,,,,,,Intransit,,,,,2/13/2024 12:46:00 PM,987,
ECUU5780708,ECUU5780708,,,,,,,,,,Intransit,,,,,,,,1,Empty,,2/13/2024 11:13:09 AM,,,,,,,,,,,,,,,Intransit,,,,,2/16/2024 11:28:00 AM,987,
DFSU4276557,DFSU4276557,BHTF,39,,381183724,,,,HDMU,40DR86,Wrens ,DALA55530400,DALA55530400,1755136,2443990,5096575,1.5, ,LOS,Loaded On Site,2/27/2024 3:30:01 PM,3/2/2024 9:19:23 AM,3/14/2024 11:16:00 AM,,,,,,,,,,,,,,Wrens ,,,,,3/2/2024 9:19:23 AM,155,
MSMU7250754,MSMU7250754,BHTF, ,,381142181,,,,MSCU,40HC96,Gordon,MSCKAMIN,MSCKAMIN,1765749,2481797,5097272,502.2, ,LOS,Loaded On Site,2/24/2024 12:30:00 PM,2/26/2024 11:09:27 AM,3/14/2024 11:16:00 AM,,,,,,,,,,,,,,Gordon,,,,,3/1/2024 9:56:44 AM,153,
TCNU8789349,TCNU8789349,BHTF,16,,381213981,,,,MSCU,40HC96,Edgar,MSCKAMIN,MSCKAMIN,,,,,,1,Empty,,2/22/2024 10:33:18 AM,,,,,,,,,,,,,,,Edgar,,,,,3/1/2024 11:34:23 AM,151,
EGHU8485641,EGHU8485641,,,,,,,,,,Edgar,,,,,,,,1,Empty,2/27/2024 4:30:00 PM,2/28/2024 10:21:21 AM,,,,,,,,,,,,,,,Edgar,,,,,3/1/2024 11:40:40 AM,151,
